source_row_num,category_type,collection_code,collection_name,department_name,section_name,subsection_name,rate_code,rate_original_name,rate_final_name,rate_unit,row_type,is_scope,is_machine,is_material,resource_code,resource_name,resource_unit,resource_quantity,resource_price_per_unit_current,resource_cost,total_resource_cost_per_position,total_material_cost_per_position,total_cost_per_position,currency,price_region,is_abstract,masterformat_division,masterformat_section_title,is_labor
22,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,操作员,0,1,0,PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,机器运行时间,2.35,61.46248000000001,144.436828,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
23,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,资源,0,1,0,DXME-KAME-KASA_MERIVO,单斗电动步进式挖掘机，配备“拖拉机”作业设备，铲斗容量15立方米,台时,2.35,15588.212832,36632.3001552,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
24,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,操作员,0,1,0,PU_MEKAKA_KADXTO,人员：3人·小时/机械·小时,机器运行时间,2.35,230.1732,540.9070200000001,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
25,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,电力,0,1,0,DXME-KAME-KASA_MERIVO,电力：消耗量 965.25 千瓦·小时/机器小时,机器运行时间,2.35,648.4942400000001,1523.961464,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
26,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,工作内容,0,0,0,,,,,,,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
27,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,工作内容,0,0,0,,,,,,,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
28,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,工作内容,0,0,0,,,,,,,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
29,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,资源,0,0,1,ME_MEKAKA_TOVO,平均工作强度 1,手表,3.19,84.28736000000001,268.8766784,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
30,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,资源,0,1,0,DXME-KAME-KAME_KATOSA,推土机，功率79千瓦（108马力）,台时,3.32,166.5735072,553.0240439039999,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
31,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,操作员,0,1,0,PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,机器运行时间,3.32,61.46248000000001,204.0554336,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
32,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,资源,0,1,0,DXME-KAME-KASA_MERIVO,单斗电动步进式挖掘机，配备“拖拉机”作业设备，铲斗容量15立方米,台时,3.32,15588.212832,51752.86660223998,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
33,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,操作员,0,1,0,PU_MEKAKA_KADXTO,人员：3人·小时/机械·小时,机器运行时间,3.32,230.1732,764.1750240000001,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
34,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,电力,0,1,0,DXME-KAME-KASA_MERIVO,电力：消耗量 965.25 千瓦·小时/机器小时,机器运行时间,3.32,648.4942400000001,2153.0008768,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
35,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,工作内容,0,0,0,,,,,,,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
36,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,工作内容,0,0,0,,,,,,,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
37,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAPU建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组4,1000立方米,工作内容,0,0,0,,,,,,,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",,31 00 00,Earthwork,0
38,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,资源,0,0,1,ME_MEKAKA_TOVO,平均工作强度 1,手表,3.71,84.28736000000001,312.7061056,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
39,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,资源,0,1,0,DXME-KAME-KAME_KATOSA,推土机，功率79千瓦（108马力）,台时,3.85,166.5735072,641.3080027199999,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
40,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,操作员,0,1,0,PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,机器运行时间,3.85,61.46248000000001,236.630548,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
41,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,资源,0,1,0,DXME-KAME-KASA_MERIVO,单斗电动步进式挖掘机，配备“拖拉机”作业设备，铲斗容量15立方米,台时,3.85,15588.212832,60014.61940320001,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
42,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,操作员,0,1,0,PU_MEKAKA_KADXTO,人员：3人·小时/机械·小时,机器运行时间,3.85,230.1732,886.16682,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
43,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KASA建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组5,1000立方米,电力,0,1,0,DXME-KAME-KASA_MERIVO,电力：消耗量 965.25 千瓦·小时/机器小时,机器运行时间,3.85,648.4942400000001,2496.702824,60968.63351152,,60968.63351152,CNY,"Shanghai, China",,31 00 00,Earthwork,0
