rate_code,rate_name,category_type,collection_code,collection_name,department_name,section_name,subsection_name,rate_unit,resource_row_count,material_row_count,machine_row_count,labor_row_count,row_count,total_resource_cost_per_position,total_material_cost_per_position,total_cost_per_position,currency,price_region,masterformat_division,masterformat_section_title
KAME_KAME_KAKAME_RIPU,5-6立方米，土壤组6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,10695.86896896,,10695.86896896,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKASA_KAME建筑工,1.2米深至1.4米，土壤组1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,沟槽旋转挖掘机进行土方开挖,1000立方米,2,0,2,0,6,1885.507171656,,1885.507171656,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKASA_KARI建筑工,1.2米深至1.4米，土壤组2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,沟槽旋转挖掘机进行土方开挖,1000立方米,2,0,2,0,6,2440.262346504001,,2440.262346504001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKASA_KATO建筑工,1.2米深至1.4米，土壤组3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,沟槽旋转挖掘机进行土方开挖,1000立方米,2,0,2,0,6,3434.198701440002,,3434.198701440002,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKASA_KAPU建筑工,1.2米深至1.4米，土壤组4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,沟槽旋转挖掘机进行土方开挖,1000立方米,2,0,2,0,6,5184.31919352,,5184.31919352,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KAME建筑工,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,4821.3648864,,4821.3648864,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KARI建筑工,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,6151.3965792,,6151.3965792,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KATO建筑工,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,8562.079022400001,,8562.079022400001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KAPU建筑工,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,5046.300835200001,,5046.300835200001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KASA,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,6639.86952,,6639.86952,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKANE_KANE,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.4、0.25立方米的铲斗，在容积不超过500立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,8897.4251568,,8897.4251568,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KAME建筑工,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,4068.2185104,,4068.2185104,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KARI建筑工,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,5085.273138,,5085.273138,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KATO建筑工,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,6379.706300400001,,6379.706300400001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KAPU建筑工,4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,8321.356044,,8321.356044,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KASA建筑工,5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,11002.6818804,,11002.6818804,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KANE建筑工,6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,12759.4126008,,12759.4126008,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KALI,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,4821.3648864,,4821.3648864,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KAVO,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,6151.3965792,,6151.3965792,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_KADX,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,8562.079022400001,,8562.079022400001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_MEKA,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,5046.300835200001,,5046.300835200001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_MEME,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,6639.86952,,6639.86952,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKALI_MERI,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用容量为0.5、0.4、0.25立方米的铲斗挖掘机，在容积不超过1000立方米的基坑中进行土方挖掘,1000立方米,2,0,2,0,6,8897.4251568,,8897.4251568,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KAME建筑工,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,4224.758400000001,,4224.758400000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KARI建筑工,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,4811.530400000001,,4811.530400000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KATO建筑工,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,6689.200800000001,,6689.200800000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KAPU建筑工,4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,8684.2256,,8684.2256,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KASA建筑工,5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,11266.0224,,11266.0224,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KANE建筑工,6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,13613.1104,,13613.1104,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KALI,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,4068.2185104,,4068.2185104,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KAVO,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,5085.273138,,5085.273138,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_KADX,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,6379.706300400001,,6379.706300400001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_MEKA,4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,8321.356044,,8321.356044,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_MEME,5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,11002.6818804,,11002.6818804,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAVO_MERI,6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为0.65、0.5立方米的挖掘机，在容积为1000至3000立方米的基坑中进行土方开挖作业,1000立方米,2,0,2,0,6,12759.4126008,,12759.4126008,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KAME建筑工,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,2892.11208,,2892.11208,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KARI建筑工,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,3337.0524,,3337.0524,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KATO建筑工,3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,4449.403200000001,,4449.403200000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KAPU建筑工,4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,5561.754000000001,,5561.754000000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KASA建筑工,5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,7119.045120000001,,7119.045120000001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KANE,6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,8453.86608,,8453.86608,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KALI,1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,3990.0496,,3990.0496,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKADX_KAVO,2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,使用铲斗容量为1、0.65、0.5、0.4、0.25立方米的反铲挖掘机在沟槽中挖掘土方并堆放,1000立方米,2,0,2,0,5,5560.251472,,5560.251472,CNY,"Shanghai, China",31 00 00,Earthwork
